periodo,valor
2021-4-23,8.85
2021-4-25,8.85
2021-4-26,8.85
2021-4-27,8.85
2021-4-28,8.85
2021-4-29,8.85
2021-4-30,8.85
2021-5-06,8.85
2021-5-07,8.85
2021-5-08,8.85
2021-5-10,8.85
2021-5-11,8.85
2021-5-12,8.85
2021-5-13,8.85
2021-5-14,8.85
2021-5-17,8.85
2021-5-18,8.85
2021-5-19,8.85
2021-5-20,8.85
2021-5-21,8.85
2021-5-24,8.85
2021-5-25,8.85
2021-5-26,8.85
2021-5-27,8.85
2021-5-28,8.85
2021-5-31,8.85
2021-6-01,8.85
2021-6-02,8.85
2021-6-03,8.85
2021-6-04,9.15
2021-6-07,9.15
2021-6-08,9.15
2021-6-09,9.15
2021-6-10,9.15
2021-6-11,9.15
2021-6-15,9.15
2021-6-16,9.15
2021-6-17,9.15
2021-6-18,9.15
2021-6-21,9.15
2021-6-22,9.15
2021-6-23,9.15
2021-6-24,9.15
2021-6-25,9.15
2021-6-28,9.15
2021-6-29,9.15
2021-6-30,9.15
2021-7-01,9.15
2021-7-02,9.15
2021-7-05,9.15
2021-7-06,9.15
2021-7-07,9.15
2021-7-08,9.15
2021-7-09,9.15
2021-7-12,9.15
2021-7-13,9.15
2021-7-14,9.15
2021-7-15,9.15
2021-7-16,9.15
2021-7-19,9.15
2021-7-20,9.15
2021-7-21,9.15
2021-7-22,9.15
2021-7-23,9.15
2021-7-26,9.35
2021-7-27,9.35
2021-7-28,9.55
2021-7-29,9.55
2021-7-30,9.75
2021-8-02,9.75
2021-8-03,9.95
2021-8-04,9.95
2021-8-05,9.95
2021-8-06,9.95
2021-8-09,10.15
2021-8-10,10.45
2021-8-11,10.65
2021-8-12,10.95
2021-8-13,11.25
2021-8-16,11.55
2021-8-17,11.85
2021-8-18,12.15
2021-8-19,12.15
2021-8-20,12.15
2021-8-23,12.45
2021-8-24,12.75
2021-8-25,13.05
2021-8-26,13.05
2021-8-27,13.35
2021-8-30,13.65
2021-8-31,13.95
2021-9-01,14.35
2021-9-02,14.75
2021-9-03,14.95
2021-9-06,15.35
2021-9-07,15.75
2021-9-08,16.15
2021-9-09,16.55
2021-9-10,16.95
2021-9-13,17.35
2021-9-14,17.85
2021-9-15,18.35
2021-9-16,18.35
2021-9-17,18.85
2021-9-18,19.35
2021-9-22,19.35
2021-9-23,19.85
2021-9-24,20.35
2021-9-26,20.85
2021-9-27,21.45
2021-9-28,21.65
2021-9-29,21.85
2021-10-11,22.85
2021-10-12,22.85
